Name,Type,Problem,fixed YES/NO,,,,,,,,,,
samsung j7 prime,SMARTPHONE,lcd,YES,,,,,,,,,,
lenovo a319,SMARTPHONE,flash,YES,,,,,,,,,,
redmi 9,SMARTPHONE,lock,YES,,,,,,,,,,
lg xpower 2,SMARTPHONE,lcd,NO,,,,,,,,,,
condor h1,SMARTPHONE,charge,YES,,,,,,,,,,
condor T3,SMARTPHONE,off,YES,,,,,,,,,,
samsung m11,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung s4,SMARTPHONE,off,NO,,,,,,,,,,
lg k4,SMARTPHONE,lcd,YES,,,,,,,,,,
wise-tech a3+,CELL,mic,YES,,,,,,,,,,
condor fsnroir,CELL,lcd,YES,,,,,,,,,,
condor t4,SMARTPHONE,touch,YES,,,,,,,,,,
samsung e1087,CELL,mic,YES,,,,,,,,,,
lg xpower2,SMARTPHONE,battery,YES,,,,,,,,,,
samsung b310,CELL,lcd,YES,,,,,,,,,,
huawei y9 2019,SMARTPHONE,lcd,YES,,,,,,,,,,
starlight m11,CELL,charge,NO,,,,,,,,,,
samsung e2252,CELL,charge,YES,,,,,,,,,,
condor t3,SMARTPHONE,lock,YES,,,,,,,,,,
condor a8,SMARTPHONE,lcd,YES,,,,,,,,,,
lg q6,SMARTPHONE,lcd,YES,,,,,,,,,,
tecno pop3,SMARTPHONE,lcd,YES,,,,,,,,,,
redmi 8a,SMARTPHONE,off,NO,,,,,,,,,,
redmi 7a ,SMARTPHONE,lcd,YES,,,,,,,,,,
condor l4 ,SMARTPHONE,lcd,YES,,,,,,,,,,
redmi 9 ,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j5 2016,SMARTPHONE,charge,YES,,,,,,,,,,
samsung m20,SMARTPHONE,lcd,YES,,,,,,,,,,
condor p7plus,SMARTPHONE,off,NO,,,,,,,,,,
condor 710,PAD,touch,YES,,,,,,,,,,
samsung a10s,SMARTPHONE,flash,YES,,,,,,,,,,
condor t3,SMARTPHONE,lock,NO,,,,,,,,,,
condor 717,PAD,touch,YES,,,,,,,,,,
nokia 106,CELL,off,YES,,,,,,,,,,
condor ftrois ,CELL,mic,YES,,,,,,,,,,
redmi note8,SMARTPHONE,flash,NO,,,,,,,,,,
condor a8,SMARTPHONE,battery,YES,,,,,,,,,,
samsung a10s,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j7 pro,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j4,SMARTPHONE,lcd,YES,,,,,,,,,,
condor h1,SMARTPHONE,battery,YES,,,,,,,,,,
wise-tech a3+,CELL,lcd,YES,,,,,,,,,,
samsung g532,SMARTPHONE,charge,YES,,,,,,,,,,
huawei y62,SMARTPHONE,off,NO,,,,,,,,,,
huawei y7 prime ,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung m20,SMARTPHONE,lcd,YES,,,,,,,,,,
redmi 7a,SMARTPHONE,charge,YES,,,,,,,,,,
samsung m10,SMARTPHONE,frp,YES,,,,,,,,,,
condor t7,SMARTPHONE,lcd,YES,,,,,,,,,,
honor 8x,SMARTPHONE,lcd,YES,,,,,,,,,,
honor buzz2plus,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j5 pro,SMARTPHONE,lcd,YES,,,,,,,,,,
cidea,PAD,charge,YES,,,,,,,,,,
redmi 9,SMARTPHONE,lock,YES,,,,,,,,,,
samsung a01core,SMARTPHONE,charge,YES,,,,,,,,,,
oppo f9,SMARTPHONE,lock,YES,,,,,,,,,,
condor c8,SMARTPHONE,lcd,NO,,,,,,,,,,
samsung b310,CELL,lcd,YES,,,,,,,,,,
iris is2s,SMARTPHONE,touch,YES,,,,,,,,,,
condor 711,PAD,touch,YES,,,,,,,,,,
samsung b310,CELL,lcd,YES,,,,,,,,,,
samsung b350,CELL,lcd,YES,,,,,,,,,,
oppo f7,SMARTPHONE,lcd,YES,,,,,,,,,,
condor 717,PAD,off,NO,,,,,,,,,,
condor 801,PAD,touch,YES,,,,,,,,,,
samsung a10s,SMARTPHONE,lock,YES,,,,,,,,,,
samsung b310,CELL,lcd,YES,,,,,,,,,,
starlight m09,CELL,sound,YES,,,,,,,,,,
poco c3,SMARTPHONE,off,YES,,,,,,,,,,
samsung c7,SMARTPHONE,flash,NO,,,,,,,,,,
oppo a37,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j250,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung g532,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung b310,CELL,lcd,YES,,,,,,,,,,
condor t8+,SMARTPHONE,touch,YES,,,,,,,,,,
condor p4+,SMARTPHONE,frp,YES,,,,,,,,,,
cidea,PAD,battery,YES,,,,,,,,,,
redmi note8pro,SMARTPHONE,frp,YES,,,,,,,,,,
condor p8,SMARTPHONE,charge,YES,,,,,,,,,,
samsung b310,CELL,off,YES,,,,,,,,,,
samsung a11,SMARTPHONE,lcd,YES,,,,,,,,,,
condor 711,PAD,touch,YES,,,,,,,,,,
samsung b310,CELL,flash,YES,,,,,,,,,,
cidea,PAD,battery,YES,,,,,,,,,,
samsung j5pro,SMARTPHONE,lcd,YES,,,,,,,,,,
doogee x5,SMARTPHONE,charge,YES,,,,,,,,,,
samsung j3,SMARTPHONE,frp,YES,,,,,,,,,,
huawei y7prime,SMARTPHONE,lcd,YES,,,,,,,,,,
iris is250,CELL,lcd,NO,,,,,,,,,,
oppo a1k,SMARTPHONE,lcd,YES,,,,,,,,,,
condor 718,PAD,off,YES,,,,,,,,,,
condor m3lite,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung b310,CELL,lcd,YES,,,,,,,,,,
samsung a30,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j5prime,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung m20,SMARTPHONE,lcd,YES,,,,,,,,,,
huawei y9prime2019,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung a50,SMARTPHONE,lcd,YES,,,,,,,,,,
condor p6prolte,SMARTPHONE,charge,YES,,,,,,,,,,
samsung b310,CELL,charge,YES,,,,,,,,,,
redmi 9,SMARTPHONE,off,NO,,,,,,,,,,
condor p6prolte,SMARTPHONE,charge,YES,,,,,,,,,,
nokia 106,CELL,lock,YES,,,,,,,,,,
samsung a10s,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung  a02 core ,SMARTPHONE,battery,YES,,,,,,,,,,
redmi 7a,SMARTPHONE,flash,YES,,,,,,,,,,
condor a8,SMARTPHONE,charge,YES,,,,,,,,,,
samsung j250,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung a10,SMARTPHONE,lcd,YES,,,,,,,,,,
oppo a37,SMARTPHONE,lcd,YES,,,,,,,,,,
redmi note9,SMARTPHONE,lcd,YES,,,,,,,,,,
nokia 108,CELL,lcd,YES,,,,,,,,,,
oppo f9,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung m11,SMARTPHONE,frp,YES,,,,,,,,,,
redmi note10,SMARTPHONE,frp,YES,,,,,,,,,,
oppo f9,SMARTPHONE,lock,YES,,,,,,,,,,
condor fsenoir,CELL,charge,YES,,,,,,,,,,
lg xpower,SMARTPHONE,flash,YES,,,,,,,,,,
starlight m27,CELL,charge,YES,,,,,,,,,,
samsung s10+,SMARTPHONE,lock,YES,,,,,,,,,,
lg k4,SMARTPHONE,lcd,YES,,,,,,,,,,
oppo f9,SMARTPHONE,lcd,YES,,,,,,,,,,
lg xpower1,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung g532,SMARTPHONE,flash,YES,,,,,,,,,,
condor p6pro,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j4+,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung b310,CELL,mic,YES,,,,,,,,,,
condor f4,CELL,lcd,YES,,,,,,,,,,
condor p6prolte,SMARTPHONE,charge,YES,,,,,,,,,,
condor p6prolte,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung i9060,SMARTPHONE,charge,YES,,,,,,,,,,
cidea,PAD,touch,YES,,,,,,,,,,
samsung j3pro,SMARTPHONE,lcd,YES,,,,,,,,,,
condor t2,SMARTPHONE,charge,YES,,,,,,,,,,
redmi note7pro,SMARTPHONE,off,NO,,,,,,,,,,
condor a8,SMARTPHONE,off,NO,,,,,,,,,,
samsung a750,SMARTPHONE,lock,YES,,,,,,,,,,
redmi note9pro,SMARTPHONE,off,YES,,,,,,,,,,
huawei y62018,SMARTPHONE,lcd,YES,,,,,,,,,,
oppo a5s,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung a10s,SMARTPHONE,charge,YES,,,,,,,,,,
condor l3+,SMARTPHONE,lcd,YES,,,,,,,,,,
redmi note 8 ,SMARTPHONE,lcd,YES,,,,,,,,,,
condor t9,SMARTPHONE,off,YES,,,,,,,,,,
condor l2 pro ,SMARTPHONE,charge,YES,,,,,,,,,,
samsung b310,CELL,mic,YES,,,,,,,,,,
condor l3 smart,SMARTPHONE,lcd,YES,,,,,,,,,,
tecno pop2f,SMARTPHONE,off,NO,,,,,,,,,,
starlight m08,CELL,lcd,YES,,,,,,,,,,
